gcc -fopenmp -c src/main.c
gcc -fopenmp -c src/parallel_tasks.c
gcc -fopenmp -c src/utilities.c
gcc -fopenmp -lm -g -o schooling main.o parallel_tasks.o utilities.o
rm -f *.o
Fish #	x	y	w
0	68.12	-21.90	70.69
1	56.70	59.45	71.82
2	82.10	-59.81	75.31
3	-33.54	53.49	72.51
4	-45.04	10.57	71.31
5	-5.09	26.17	71.28
6	-26.61	3.15	69.05
7	89.84	83.33	70.67
8	27.09	43.35	71.40
9	-71.40	21.86	73.84
10	-97.39	-51.67	73.66
11	-73.01	60.58	76.24
12	-67.78	-19.87	75.80
13	-73.85	-77.85	73.28
14	99.52	-55.94	75.16
15	2.33	67.55	71.65
16	22.67	-40.56	70.47
17	28.40	4.56	72.36
18	-1.17	95.06	79.06
19	-40.15	54.60	71.99
20	4.83	53.37	73.45
21	-19.64	78.22	73.51
22	-43.29	-29.60	73.80
23	62.35	84.40	76.17
24	-86.45	90.15	72.60
25	5.26	-83.64	73.80
26	-61.32	33.25	71.41
27	77.74	-31.11	71.65
28	-87.42	-95.72	71.84
29	-8.14	-87.94	74.45
30	-52.93	93.38	72.21
31	80.96	69.88	69.02
32	-47.28	8.11	71.49
33	-24.24	52.06	73.17
34	1.61	34.50	72.95
35	6.13	-91.64	71.15
36	-11.67	86.31	72.40
37	86.22	44.53	70.24
38	-43.03	47.66	70.11
39	28.42	-29.14	71.33
40	37.61	-67.99	71.21
41	-11.23	75.64	72.92
42	65.07	-34.29	73.05
43	-54.59	78.75	73.75
44	-29.02	37.43	74.23
45	91.68	17.85	70.86
46	31.81	72.24	73.52
47	-11.87	84.73	73.82
48	-20.85	62.89	70.27
49	36.99	82.76	71.99
50	-2.81	-56.27	73.75
51	89.91	84.72	68.86
52	-70.36	75.34	71.12
53	28.44	-13.79	73.67
54	24.20	-43.74	73.56
55	57.27	-38.59	70.80
56	-11.13	-54.36	73.47
57	-63.35	-45.87	73.40
58	11.75	-16.94	70.11
59	-65.72	81.33	72.31
60	-78.91	-75.04	70.86
61	-1.22	52.30	73.10
62	97.39	87.31	72.62
63	36.83	-22.86	68.20
64	49.60	-26.17	72.63
65	-41.50	-53.41	68.49
66	16.35	-50.99	69.52
67	-69.50	46.79	72.28
68	-74.65	58.94	70.71
69	-67.40	49.35	71.17
70	-86.00	89.87	68.09
71	-88.65	4.87	73.88
72	-65.09	-53.20	72.36
73	59.20	46.26	72.90
74	31.06	92.88	71.90
75	27.79	51.55	71.56
76	-80.96	-72.44	72.58
77	4.85	-83.77	72.29
78	-86.53	-58.32	69.52
79	-7.83	63.67	74.87
80	15.10	51.07	71.87
81	-89.55	-68.75	69.82
82	99.28	-59.85	71.52
83	78.64	-73.38	66.28
84	100.10	-88.16	69.27
85	73.77	-85.30	69.48
86	-99.49	83.52	72.55
87	18.97	-65.18	71.66
88	-67.28	-21.43	70.74
89	83.08	63.38	72.01
90	-27.75	10.67	69.16
91	14.13	-9.91	72.41
92	37.23	-79.22	72.05
93	6.32	51.10	74.03
94	-39.15	97.89	72.42
95	14.76	75.76	75.43
96	49.36	26.22	70.97
97	-93.19	49.44	72.28
98	67.97	85.85	75.36
99	75.66	66.27	70.10
100	96.09	49.63	71.59
101	79.77	96.60	71.73
102	33.15	-0.26	72.49
103	-67.38	64.67	70.19
104	77.11	-84.10	71.61
105	30.06	-50.85	70.10
106	26.56	-56.21	72.73
107	39.44	-36.21	71.08
108	-33.84	-54.64	72.09
109	-85.31	25.82	70.27
110	-55.95	29.05	71.11
111	1.57	94.01	69.82
112	-43.93	7.98	74.97
113	44.25	-75.96	73.98
114	-6.77	17.71	70.59
115	88.71	-9.87	71.50
116	-32.66	68.28	71.51
117	-13.67	-100.11	71.99
118	-31.18	19.95	71.77
119	67.17	-51.87	71.64
120	35.04	-2.78	70.10
121	-3.72	-39.20	70.61
122	42.41	-63.68	70.25
123	24.19	-92.23	71.73
124	-17.32	39.28	72.32
125	35.19	27.13	72.86
126	-30.06	-63.24	73.79
127	22.54	25.41	72.71
128	45.94	-33.81	72.40
129	47.85	-58.63	68.41
130	84.70	36.57	73.42
131	29.30	-48.96	68.41
132	7.05	-81.57	71.50
133	-47.07	75.07	73.51
134	36.37	-80.71	70.74
135	-78.20	-28.19	74.48
136	15.52	18.08	70.79
137	33.42	-43.27	71.50
138	54.41	-42.59	71.62
139	-33.90	-61.31	75.12
140	96.69	-98.51	72.19
141	66.22	-34.37	71.26
142	-62.35	-12.23	72.24
143	91.23	82.79	73.85
144	53.15	39.28	69.33
145	-75.44	37.25	70.19
146	-23.35	55.06	73.27
147	88.69	83.50	70.62
148	72.09	-59.18	70.36
149	58.77	10.26	71.07
150	-40.49	81.17	72.65
151	82.28	74.83	69.03
152	0.06	16.29	72.81
153	-68.04	-44.33	71.19
154	72.10	-1.34	73.55
155	-6.24	69.19	72.93
156	-0.46	-41.22	68.50
157	-63.38	37.59	71.52
158	45.35	-72.55	74.60
159	21.57	-2.10	70.95
160	67.74	43.13	72.85
161	-64.65	-55.21	71.45
162	-0.40	-76.76	71.70
163	-72.51	-28.52	74.04
164	-33.34	85.86	72.63
165	82.35	23.58	70.15
166	68.03	63.82	72.73
167	-0.39	-34.11	74.80
168	-20.29	32.36	69.66
169	21.95	-46.79	70.49
170	-70.18	-84.89	68.48
171	-77.79	29.56	76.96
172	-27.71	-42.37	72.87
173	-33.85	-82.36	70.46
174	-14.12	86.72	70.81
175	16.74	-47.18	70.83
176	30.46	52.49	67.84
177	-1.80	-68.55	71.45
178	75.93	25.69	72.76
179	3.34	-58.20	72.42
180	11.34	-13.52	72.34
181	66.37	-21.63	72.23
182	-52.50	-35.02	73.84
183	45.66	27.42	72.14
184	96.74	-31.38	72.68
185	80.23	-72.44	70.20
186	-17.87	-99.76	73.27
187	56.72	54.82	69.58
188	-41.33	-77.73	68.36
189	73.05	45.14	72.42
190	-90.61	-10.81	72.15
191	96.76	41.05	70.36
192	-58.72	-5.44	69.86
193	73.70	-81.59	75.79
194	-79.75	-24.16	70.68
195	-40.39	32.19	73.39
196	62.33	-73.42	69.01
197	-89.03	-88.97	73.06
198	-8.84	57.83	73.32
199	38.25	-11.11	71.25
200	-75.96	18.28	73.83
201	14.85	6.57	71.38
202	19.92	-28.03	69.91
203	-39.21	78.39	74.80
204	-5.37	-65.96	75.49
205	21.93	5.22	77.52
206	23.84	18.69	71.90
207	-53.73	65.32	71.54
208	-86.95	-80.83	74.35
209	85.33	-65.90	71.00
210	-3.18	-55.66	70.42
211	64.89	-41.26	73.29
212	-28.48	75.85	72.33
213	-32.22	63.68	71.44
214	31.88	-93.17	78.29
215	-48.63	55.32	69.76
216	25.51	67.42	69.82
217	-38.10	-56.37	70.30
218	-60.21	21.68	74.59
219	-78.18	33.82	76.92
220	56.13	43.95	76.82
221	-58.96	-19.64	74.14
222	-35.56	-14.49	72.92
223	-53.52	-22.31	73.63
224	6.48	-68.79	69.46
225	10.38	-97.10	70.91
226	-24.25	-23.33	72.19
227	-38.16	47.07	71.14
228	-48.67	28.62	69.60
229	9.75	85.01	74.81
230	36.24	61.92	71.53
231	39.93	-38.45	69.43
232	29.14	-98.37	72.34
233	6.58	68.53	73.49
234	24.31	28.80	68.95
235	3.14	-19.76	72.58
236	-27.66	43.98	71.18
237	60.60	36.18	71.34
238	-70.31	-93.31	73.31
239	-86.93	36.97	75.98
240	-62.90	23.25	70.87
241	39.27	14.25	71.64
242	-99.88	-99.49	72.27
243	-39.68	-48.35	75.38
244	31.13	72.27	73.15
245	-63.74	-31.63	70.67
246	34.39	75.39	74.02
247	30.92	-37.87	68.10
248	77.02	-62.70	69.76
249	-68.14	0.73	72.96
250	66.10	35.20	67.15
251	81.37	-62.36	71.89
252	-21.62	40.97	69.80
253	73.43	8.87	73.38
254	48.06	86.89	72.83
255	-52.76	85.16	74.33
256	9.95	86.51	71.62
257	-0.80	11.07	74.05
258	88.01	58.52	72.01
259	62.72	18.14	72.10
260	31.99	99.18	72.12
261	86.11	-35.42	72.90
262	75.16	18.83	76.29
263	27.31	50.98	73.54
264	54.93	58.97	71.64
265	-47.29	21.23	70.43
266	-5.43	-66.52	72.43
267	58.67	73.15	74.22
268	73.85	33.30	69.16
269	-16.78	21.91	71.04
270	18.19	28.86	71.39
271	7.26	-71.06	72.07
272	16.36	-92.93	73.00
273	39.61	3.98	72.94
274	65.59	3.73	75.23
275	-77.68	-2.82	75.21
276	2.91	-90.18	74.19
277	63.16	-22.73	71.85
278	27.45	-9.73	72.86
279	-71.75	-17.22	70.46
280	-50.36	-18.04	72.64
281	-95.79	43.61	71.63
282	14.44	62.49	72.89
283	16.76	-10.72	72.41
284	-6.42	98.58	72.39
285	-88.21	-85.82	69.99
286	28.03	19.05	69.20
287	-55.88	-56.40	70.30
288	26.12	85.13	74.97
289	47.77	-7.29	73.45
290	-12.54	69.69	71.31
291	90.29	88.96	73.67
292	79.31	53.65	69.08
293	-32.77	6.17	73.56
294	-55.87	-3.91	72.40
